From = 15322, To = 15478
Unordered Array: Word 'quaderni' exists [1] times
Unordered Array: Word 'vha' exists [2] times
Unordered Array: Word 'pero' exists [1] times
Unordered Array: Word 'altra' exists [3] times
Unordered Array: Word 'calandro' exists [1] times
Unordered Array: Word 'consultarsi' exists [1] times
Unordered Array: Word 'federici' exists [1] times
Unordered Array: Word 'trevigiane' exists [1] times
Unordered Array: Word 'virtu' exists [2] times
Unordered Array: Word 'libricciuolo' exists [1] times
Unordered Array: Word 'composto' exists [4] times
Unordered Array: Word 'verso' exists [2] times
Unordered Array: Word 'volte' exists [3] times
Unordered Array: Word 'impresso' exists [7] times
Unordered Array: Word 'secolo' exists [13] times
Unordered Array: Word 'ristampato' exists [1] times
Unordered Array: Word 'accademici' exists [1] times
Unordered Array: Word 'crusca' exists [1] times
Unordered Array: Word 'ammettono' exists [1] times
Unordered Array: Word 'testi' exists [1] times
Unordered Array: Word 'lingua' exists [7] times
Unordered Array: Word 'vedasi' exists [2] times
Unordered Array: Word 'gamba' exists [1] times
Unordered Array: Word 'razzolini' exists [1] times
Unordered Array: Word 'panzer' exists [2] times
Unordered Array: Word 'brunet' exists [5] times
Unordered Array: Word 'lechi' exists [1] times
Unordered Array: Word 'plinio' exists [2] times
Unordered Array: Word 'tradocta' exists [1] times
Unordered Array: Word 'latina' exists [1] times
Unordered Array: Word 'fiorentina' exists [1] times
Unordered Array: Word 'christophoro' exists [1] times
Unordered Array: Word 'laudino' exists [1] times
Unordered Array: Word 'opus' exists [1] times
Unordered Array: Word 'nicolai' exists [1] times
Unordered Array: Word 'jansonis' exists [1] times
Unordered Array: Word 'gallici' exists [1] times
Unordered Array: Word 'imp' exists [1] times
Unordered Array: Word 'salutis' exists [1] times
Unordered Array: Word 'mcccclxxvi' exists [2] times
Unordered Array: Word 'venetiis' exists [4] times
Unordered Array: Word 'infoldiogene' exists [1] times
Unordered Array: Word 'laertio' exists [1] times
Unordered Array: Word 'incomincia' exists [1] times
Unordered Array: Word 'philosophi' exists [1] times
Unordered Array: Word 'impressum' exists [2] times
Unordered Array: Word 'bernardinum' exists [1] times
Unordered Array: Word 'celerium' exists [1] times
Unordered Array: Word 'luere' exists [1] times
Unordered Array: Word 'bibia' exists [2] times
Unordered Array: Word 'volgare' exists [5] times
Unordered Array: Word 'historiata' exists [1] times
Unordered Array: Word 'mallermi' exists [2] times
Unordered Array: Word 'venecia' exists [2] times
Unordered Array: Word 'mcccclxxi' exists [1] times
Unordered Array: Word 'kalende' exists [1] times
Unordered Array: Word 'vindelino' exists [1] times
Unordered Array: Word 'spira' exists [1] times
Unordered Array: Word 'lin' exists [1] times
Unordered Array: Word 'ediz' exists [2] times
Unordered Array: Word 'stessa' exists [1] times
Unordered Array: Word 'versione' exists [7] times
Unordered Array: Word 'gabriel' exists [1] times
Unordered Array: Word 'ottavio' exists [1] times
Unordered Array: Word 'scotto' exists [1] times
Unordered Array: Word 'modoetia' exists [1] times
Unordered Array: Word 'joan' exists [1] times
Unordered Array: Word 'vercellese' exists [1] times
Unordered Array: Word 'ragazo' exists [1] times
Unordered Array: Word 'monteferato' exists [1] times
Unordered Array: Word 'instantia' exists [1] times
Unordered Array: Word 'luchanthonio' exists [1] times
Unordered Array: Word 'giunta' exists [1] times
Unordered Array: Word 'ecclapidario' exists [1] times
Unordered Array: Word 'teofrasto' exists [1] times
Unordered Array: Word 'mandebille' exists [1] times
Unordered Array: Word 'lapidaire' exists [1] times
Unordered Array: Word 'italiana' exists [5] times
Unordered Array: Word 'agricola' exists [1] times
Unordered Array: Word 'puo' exists [1] times
Unordered Array: Word 'mineralibus' exists [1] times
Unordered Array: Word 'traduzione' exists [1] times
Unordered Array: Word 'poema' exists [1] times
Unordered Array: Word 'latino' exists [4] times
Unordered Array: Word 'lapidum' exists [1] times
Unordered Array: Word 'seu' exists [2] times
Unordered Array: Word 'gemmis' exists [1] times
Unordered Array: Word 'marbordio' exists [1] times
Unordered Array: Word 'veterio' exists [1] times
Unordered Array: Word 'rennes' exists [1] times
Unordered Array: Word 'tradotto' exists [1] times
Unordered Array: Word 'francese' exists [5] times
Unordered Array: Word 'evao' exists [1] times
Unordered Array: Word 'darabia' exists [1] times
Unordered Array: Word 'medico' exists [1] times
Unordered Array: Word 'laveva' exists [1] times
Unordered Array: Word 'limperatore' exists [1] times
Unordered Array: Word 'tiberio' exists [1] times
Unordered Array: Word 'marbodio' exists [1] times
Unordered Array: Word 'traduzioni' exists [1] times
Unordered Array: Word 'prosa' exists [2] times
Unordered Array: Word 'lapidario' exists [2] times
Unordered Array: Word 'pietre' exists [1] times
Unordered Array: Word 'preziose' exists [1] times
Unordered Array: Word 'erbe' exists [1] times
Unordered Array: Word 'animali' exists [1] times
Unordered Array: Word 'lapidary' exists [1] times
Unordered Array: Word 'vegezio' exists [1] times
Unordered Array: Word 'frontino' exists [1] times
Unordered Array: Word 'cornazzano' exists [1] times
Unordered Array: Word 'crediamo' exists [1] times
Unordered Array: Word 'piuttosto' exists [2] times
Unordered Array: Word 'valturio' exists [1] times
Unordered Array: Word 'defavoriti' exists [1] times
Unordered Array: Word 'scienza' exists [1] times
Unordered Array: Word 'epistles' exists [3] times
Unordered Array: Word 'filelfo' exists [2] times
Unordered Array: Word 'bibliofilo' exists [1] times
Unordered Array: Word 'soli' exists [2] times
Unordered Array: Word 'esemplari' exists [2] times
Unordered Array: Word 'privately' exists [1] times
Unordered Array: Word 'regretted' exists [1] times
Unordered Array: Word 'gioachino' exists [1] times
Unordered Array: Word 'prints' exists [1] times
Unordered Array: Word 'reproducing' exists [1] times
Unordered Array: Word 'ciecho' exists [1] times
Unordered Array: Word 'dascoli' exists [1] times
Unordered Array: Word 'magnus' exists [2] times
Unordered Array: Word 'rhetorics' exists [1] times
Unordered Array: Word 'crescentio' exists [1] times
Unordered Array: Word 'cibaldone' exists [1] times
Unordered Array: Word 'quadriregio' exists [1] times
Unordered Array: Word 'aesop' exists [1] times
Unordered Array: Word 'donato' exists [2] times
Unordered Array: Word 'donatus' exists [1] times
Unordered Array: Word 'italice' exists [1] times
Unordered Array: Word 'impensis' exists [1] times
Unordered Array: Word 'johannis' exists [1] times
Unordered Array: Word 'baptistae' exists [1] times
Unordered Array: Word 'sessa' exists [1] times
Unordered Array: Word 'psalterio' exists [1] times
Unordered Array: Word 'malermi' exists [1] times
Unordered Array: Word 'psalms' exists [1] times
Unordered Array: Word 'squarzafico' exists [1] times
Unordered Array: Word 'justino' exists [1] times
Unordered Array: Word 'diligentemente' exists [1] times
Unordered Array: Word 'materna' exists [1] times
Unordered Array: Word 'ale' exists [1] times
Unordered Array: Word 'spesse' exists [1] times
Unordered Array: Word 'johane' exists [2] times
Unordered Array: Word 'colonia' exists [1] times
Unordered Array: Word 'gheretze' exists [1] times
Unordered Array: Word 'infolmarsilii' exists [1] times
Unordered Array: Word 'ficini' exists [1] times
Unordered Array: Word 'theologia' exists [1] times
Unordered Array: Word 'platonica' exists [1] times

From = 15322, To = 15478
Ordered Array: Word 'quaderni' exists [1] times
Ordered Array: Word 'vha' exists [2] times
Ordered Array: Word 'pero' exists [1] times
Ordered Array: Word 'altra' exists [3] times
Ordered Array: Word 'calandro' exists [1] times
Ordered Array: Word 'consultarsi' exists [1] times
Ordered Array: Word 'federici' exists [1] times
Ordered Array: Word 'trevigiane' exists [1] times
